ts_ny,yes_bid,yes_ask,yes_bid_depth,yes_ask_depth,no_bid,no_ask,no_bid_depth,no_ask_depth
2026-01-02T18:58:17.699638-05:00,0.72,0.73,509.6,1902.13,0.27,0.28,1902.13,509.6
2026-01-02T18:58:18.701378-05:00,0.73,0.74,532.54,2073.49,0.26,0.27,2073.49,532.54
2026-01-02T18:58:19.698958-05:00,0.73,0.76,378.4,3051.87,0.24,0.27,3051.87,378.4
2026-01-02T18:58:20.715949-05:00,0.74,0.76,538.69,3061.74,0.24,0.26,3061.74,538.69
2026-01-02T18:58:21.810622-05:00,0.74,0.75,367.88,2717.84,0.25,0.26,2717.84,367.88
2026-01-02T18:58:25.150311-05:00,0.74,0.76,467.0,2985.82,0.24,0.26,2985.82,467.0
2026-01-02T18:58:26.141578-05:00,0.75,0.77,1372.48,2499.9700000000003,0.23,0.25,2499.9700000000003,1372.48
2026-01-02T18:58:27.150524-05:00,0.76,0.77,917.19,2502.58,0.23,0.24,2502.58,917.19
2026-01-02T18:58:28.164727-05:00,0.76,0.78,1237.58,2478.88,0.22,0.24,2478.88,1237.58
2026-01-02T18:58:30.555004-05:00,0.75,0.78,1920.56,2487.61,0.22,0.25,2487.61,1920.56
2026-01-02T18:58:31.541497-05:00,0.8,0.81,1478.1,1035.31,0.19,0.2,1035.31,1478.1
2026-01-02T18:58:32.554110-05:00,0.8,0.82,1472.49,1318.7,0.18,0.2,1318.7,1472.49
2026-01-02T18:58:33.555812-05:00,0.82,0.83,1781.62,1587.4,0.17,0.18,1587.4,1781.62
2026-01-02T18:58:34.639350-05:00,0.83,0.84,1512.92,2048.64,0.16,0.17,2048.64,1512.92
2026-01-02T18:58:35.697509-05:00,0.83,0.84,1650.82,2521.54,0.16,0.17,2521.54,1650.82
2026-01-02T18:58:36.687114-05:00,0.84,0.85,1288.6299999999999,2452.32,0.15,0.16,2452.32,1288.6299999999999
2026-01-02T18:58:37.697345-05:00,0.84,0.85,1185.38,2435.31,0.15,0.16,2435.31,1185.38
2026-01-02T18:58:38.778324-05:00,0.85,0.86,1234.0,2880.63,0.14,0.15,2880.63,1234.0
2026-01-02T18:58:39.776200-05:00,0.85,0.86,1421.14,2871.63,0.14,0.15,2871.63,1421.14
2026-01-02T18:58:40.800612-05:00,0.83,0.86,1162.24,2842.81,0.14,0.17,2842.81,1162.24
2026-01-02T18:58:41.806764-05:00,0.83,0.85,1116.24,2148.6,0.15,0.17,2148.6,1116.24
2026-01-02T18:58:42.830189-05:00,0.83,0.84,1104.06,2299.12,0.16,0.17,2299.12,1104.06
2026-01-02T18:58:43.834150-05:00,0.83,0.84,1136.22,2186.48,0.16,0.17,2186.48,1136.22
2026-01-02T18:58:44.913006-05:00,0.83,0.84,1295.51,2236.68,0.16,0.17,2236.68,1295.51
2026-01-02T18:58:45.950107-05:00,0.83,0.84,1328.51,2118.48,0.16,0.17,2118.48,1328.51
2026-01-02T18:58:47.047271-05:00,0.84,0.85,1318.48,2195.37,0.15,0.16,2195.37,1318.48
2026-01-02T18:58:48.104075-05:00,0.84,0.86,1324.95,2732.41,0.14,0.16,2732.41,1324.95
2026-01-02T18:58:49.124527-05:00,0.86,0.87,1289.15,3254.43,0.13,0.14,3254.43,1289.15
2026-01-02T18:58:50.124801-05:00,0.86,0.87,1371.28,3231.01,0.13,0.14,3231.01,1371.28
2026-01-02T18:58:51.173699-05:00,0.86,0.87,1593.44,2836.94,0.13,0.14,2850.94,1486.09
2026-01-02T18:58:52.179925-05:00,0.86,0.88,1606.29,3640.71,0.12,0.14,3640.71,1606.29
2026-01-02T18:58:53.195295-05:00,0.86,0.89,1537.29,5398.15,0.11,0.14,5398.15,1537.29
2026-01-02T18:58:54.196923-05:00,0.88,0.89,1502.4,5744.719999999999,0.11,0.12,5744.719999999999,1502.4
2026-01-02T18:58:55.182209-05:00,0.88,0.89,1375.5,5674.719999999999,0.11,0.12,5674.719999999999,1375.5
2026-01-02T18:58:56.186557-05:00,0.88,0.89,1271.88,5640.95,0.11,0.12,5640.95,1271.88
2026-01-02T18:58:57.211896-05:00,0.88,0.89,1271.88,5640.95,0.11,0.12,5640.95,1271.88
2026-01-02T18:58:58.221648-05:00,0.86,0.87,1275.31,2746.77,0.13,0.14,2746.77,1275.31
2026-01-02T18:58:59.244383-05:00,0.86,0.88,1330.17,3818.2799999999997,0.12,0.14,3818.2799999999997,1330.17
2026-01-02T18:59:00.235537-05:00,0.86,0.93,1353.17,9456.91,0.07,0.14,9456.91,1353.17
2026-01-02T18:59:01.235492-05:00,0.88,0.91,1287.73,9643.65,0.09,0.12,9643.65,1287.73
2026-01-02T18:59:02.264065-05:00,0.91,0.94,1121.7,9168.31,0.06,0.09,9168.31,1121.7
2026-01-02T18:59:03.290454-05:00,0.89,0.92,1324.94,9390.57,0.08,0.11,9390.57,1324.94
2026-01-02T18:59:04.317601-05:00,0.89,0.95,1375.94,8667.72,0.05,0.11,8667.72,1375.94
2026-01-02T18:59:05.315892-05:00,0.95,0.96,777.08,7747.92,0.04,0.05,7747.92,777.08
2026-01-02T18:59:06.308078-05:00,0.94,0.95,1219.99,7153.92,0.05,0.06,7153.92,1219.99
2026-01-02T18:59:07.322916-05:00,0.96,0.97,906.06,6402.240000000001,0.02,0.03,6384.35,1008.06
2026-01-02T18:59:08.326680-05:00,0.97,0.98,950.04,6790.08,0.02,0.03,6790.08,950.04
2026-01-02T18:59:09.329898-05:00,0.97,0.98,1118.3,6069.63,0.02,0.03,6069.63,1118.3
2026-01-02T18:59:10.338599-05:00,0.96,0.98,1167.04,5353.12,0.02,0.04,5353.12,1167.04
2026-01-02T18:59:11.457022-05:00,0.98,0.99,1558.49,5407.18,0.01,0.02,5407.18,1558.49
2026-01-02T18:59:12.459987-05:00,0.97,0.99,1481.17,5338.1,0.01,0.03,5338.1,1481.17
2026-01-02T18:59:13.450408-05:00,0.97,0.98,1314.83,5370.570000000001,0.02,0.03,5370.570000000001,1314.83
2026-01-02T18:59:14.509192-05:00,0.97,0.99,1650.33,6473.16,0.01,0.03,6473.16,1650.33
2026-01-02T18:59:15.504724-05:00,0.98,0.99,2242.22,6400.31,0.01,0.02,6400.31,2242.22
2026-01-02T18:59:16.509580-05:00,0.98,0.99,1933.22,5378.93,0.01,0.02,5378.93,1933.22
2026-01-02T18:59:17.575163-05:00,0.98,0.99,1432.78,5329.64,0.01,0.02,5329.64,1432.78
2026-01-02T18:59:18.577825-05:00,0.98,0.99,1605.31,5202.11,0.01,0.02,5202.11,1605.31
2026-01-02T18:59:19.580666-05:00,0.98,0.99,1580.81,5299.06,0.01,0.02,5299.06,1580.81
2026-01-02T18:59:20.574692-05:00,0.98,0.99,2040.72,5286.99,0.01,0.02,5286.99,2040.72
2026-01-02T18:59:21.584316-05:00,0.98,0.99,1709.28,4809.36,0.01,0.02,4809.36,1709.28
2026-01-02T18:59:22.590545-05:00,0.98,0.99,1566.03,5251.13,0.01,0.02,5251.13,1566.03
2026-01-02T18:59:23.601127-05:00,0.97,0.99,1657.8899999999999,5082.71,0.01,0.03,5082.71,1657.8899999999999
2026-01-02T18:59:24.603924-05:00,0.98,0.99,1317.48,5113.51,0.01,0.02,5113.51,1317.48
2026-01-02T18:59:25.632250-05:00,0.98,0.99,1316.48,4590.27,0.01,0.02,4590.27,1316.48
2026-01-02T18:59:26.683153-05:00,0.98,0.99,1362.83,4489.17,0.01,0.02,4489.17,1362.83
2026-01-02T18:59:27.685198-05:00,0.98,0.99,1495.83,4317.16,0.01,0.02,4317.16,1495.83
2026-01-02T18:59:28.691760-05:00,0.98,0.99,1754.52,4103.46,0.01,0.02,4103.46,1754.52
2026-01-02T18:59:29.696650-05:00,0.97,0.98,1941.08,4094.06,0.02,0.03,4094.06,1941.08
2026-01-02T18:59:30.683539-05:00,0.98,0.99,1796.47,3527.83,0.01,0.02,3527.83,1796.47
2026-01-02T18:59:31.684612-05:00,0.98,0.99,1809.67,3453.08,0.01,0.02,3453.08,1809.67
2026-01-02T18:59:32.710462-05:00,0.98,0.99,1698.48,3523.97,0.01,0.02,3523.97,1698.48
2026-01-02T18:59:33.756992-05:00,0.98,0.99,1698.48,3523.97,0.01,0.02,3523.97,1698.48
2026-01-02T18:59:34.757858-05:00,0.98,0.99,1754.34,3406.9,0.01,0.02,3406.9,1754.34
2026-01-02T18:59:35.750996-05:00,0.98,0.99,1486.3,3106.59,0.01,0.02,3106.59,1486.3
2026-01-02T18:59:36.776307-05:00,0.98,0.99,1491.35,2743.0,0.01,0.02,2743.0,1491.35
2026-01-02T18:59:37.776757-05:00,0.98,0.99,1596.35,2731.96,0.01,0.02,2731.96,1596.35
2026-01-02T18:59:38.779642-05:00,0.98,0.99,1580.35,2606.4,0.01,0.02,2606.4,1580.35
2026-01-02T18:59:39.862942-05:00,0.98,0.99,1585.35,2601.4,0.01,0.02,2601.4,1585.35
2026-01-02T18:59:40.866909-05:00,0.99,,19041.69,0,,0.01,0,19041.69
2026-01-02T18:59:41.864418-05:00,0.99,,18817.59,0,,0.01,0,18817.59
2026-01-02T18:59:42.869818-05:00,0.99,,18230.18,0,,0.01,0,18230.18
2026-01-02T18:59:43.967395-05:00,0.99,,18338.789999999997,0,,0.01,0,18338.789999999997
2026-01-02T18:59:44.994950-05:00,0.99,,18338.789999999997,0,,0.01,0,18338.789999999997
2026-01-02T18:59:46.040483-05:00,0.99,,17628.929999999997,0,,0.01,0,17628.929999999997
2026-01-02T18:59:47.087391-05:00,0.99,,17628.929999999997,0,,0.01,0,17628.929999999997
2026-01-02T18:59:48.074716-05:00,0.99,,18507.149999999998,0,,0.01,0,18507.149999999998
2026-01-02T18:59:49.129830-05:00,0.99,,18722.829999999998,0,,0.01,0,18722.829999999998
2026-01-02T18:59:50.168010-05:00,0.99,,18722.829999999998,0,,0.01,0,18722.829999999998
2026-01-02T18:59:51.187397-05:00,0.99,,18722.829999999998,0,,0.01,0,18722.829999999998
2026-01-02T18:59:52.282197-05:00,0.99,,19079.91,0,,0.01,0,19079.91
