ts_ny,yes_bid,yes_ask,yes_bid_depth,yes_ask_depth,no_bid,no_ask,no_bid_depth,no_ask_depth
2026-01-02T19:00:02.976487-05:00,0.48,0.5,470.28,2131.25,0.5,0.52,2131.25,470.28
2026-01-02T19:00:03.965909-05:00,0.45,0.47,2291.65,4425.75,0.53,0.55,4425.75,2291.65
2026-01-02T19:00:04.989945-05:00,0.47,0.48,2577.7,3304.28,0.52,0.53,3304.28,2577.7
2026-01-02T19:00:05.986030-05:00,0.48,0.49,2617.45,3855.28,0.51,0.52,3855.28,2617.45
2026-01-02T19:00:07.027422-05:00,0.49,0.5,2397.12,4348.35,0.5,0.51,4348.35,2397.12
2026-01-02T19:00:08.084072-05:00,0.49,0.5,2180.2,4572.5,0.5,0.51,4572.5,2180.2
2026-01-02T19:00:09.085954-05:00,0.48,0.5,3695.62,4106.88,0.5,0.52,4106.88,3695.62
2026-01-02T19:00:10.137563-05:00,0.5,0.51,3799.16,3645.6,0.49,0.5,3645.6,3799.16
2026-01-02T19:00:11.152444-05:00,0.5,0.51,4278.51,3775.32,0.49,0.5,3775.32,4278.51
2026-01-02T19:00:12.184800-05:00,0.51,0.52,4239.07,3763.7799999999997,0.48,0.49,3763.7799999999997,4239.07
2026-01-02T19:00:13.223868-05:00,0.51,0.53,3872.21,3708.37,0.47,0.49,3708.37,3872.21
2026-01-02T19:00:14.231430-05:00,0.51,0.53,3498.85,4105.18,0.47,0.49,4105.18,3498.85
2026-01-02T19:00:15.229498-05:00,0.51,0.53,3763.17,3883.18,0.47,0.49,3883.18,3763.17
2026-01-02T19:00:16.229825-05:00,0.51,0.52,3748.48,3787.29,0.48,0.49,3787.29,3748.48
2026-01-02T19:00:17.229046-05:00,0.54,0.55,4744.44,2551.9700000000003,0.45,0.46,2551.9700000000003,4744.44
2026-01-02T19:00:18.229998-05:00,0.55,0.56,4105.5,3653.54,0.44,0.45,3653.54,4105.5
2026-01-02T19:00:19.246634-05:00,0.52,0.55,4439.02,2900.05,0.45,0.48,2900.05,4439.02
2026-01-02T19:00:20.300773-05:00,0.52,0.54,4173.54,3039.82,0.46,0.48,3039.82,4173.54
2026-01-02T19:00:21.293706-05:00,0.53,0.54,3992.1,3294.03,0.46,0.47,3294.03,3992.1
2026-01-02T19:00:22.296496-05:00,0.53,0.54,4117.1,3278.27,0.46,0.47,3278.27,4117.1
2026-01-02T19:00:23.340039-05:00,0.53,0.54,3881.38,3037.65,0.46,0.47,3037.65,3881.38
2026-01-02T19:00:24.376049-05:00,0.53,0.54,2988.38,4227.16,0.46,0.47,4227.16,2988.38
2026-01-02T19:00:25.395301-05:00,0.54,0.55,2760.48,4839.0199999999995,0.45,0.46,4839.0199999999995,2760.48
2026-01-02T19:00:26.385453-05:00,0.53,0.55,3390.66,4848.0199999999995,0.45,0.47,4848.0199999999995,3390.66
2026-01-02T19:00:27.391781-05:00,0.54,0.55,1893.8700000000001,4751.12,0.45,0.46,4751.12,1893.8700000000001
2026-01-02T19:00:28.396681-05:00,0.48,0.49,2748.87,3873.68,0.51,0.52,3873.68,2748.87
